date,dau
2024-06-23,1091
2024-06-24,1480
2024-06-25,1575
2024-06-26,1557
2024-06-27,1593
2024-06-28,1716
2024-06-29,1311
2024-06-30,1331
2024-07-01,1829
2024-07-02,1915
2024-07-03,1900
2024-07-04,1898
2024-07-05,1935
2024-07-06,1495
2024-07-07,1536
2024-07-08,1933
2024-07-09,1931
2024-07-10,1892
2024-07-11,1861
2024-07-12,1858
2024-07-13,1358
2024-07-14,1251
2024-07-15,1734
2024-07-16,1691
2024-07-17,1680
2024-07-18,1600
2024-07-19,1638
2024-07-20,1154
2024-07-21,1194
2024-07-22,1659
2024-07-23,1646
2024-07-24,1675
2024-07-25,1765
2024-07-26,1791
2024-07-27,1444
2024-07-28,1492
2024-07-29,2008
2024-07-30,2087
2024-07-31,2111
2024-08-01,2128
2024-08-02,2151
2024-08-03,1717
2024-08-04,1680
2024-08-05,2248
2024-08-06,2162
2024-08-07,2223
2024-08-08,2243
2024-08-09,2237
2024-08-10,1674
2024-08-11,1620
2024-08-12,2186
2024-08-13,2056
2024-08-14,2047
2024-08-15,1943
2024-08-16,1900
2024-08-17,1488
2024-08-18,1398
2024-08-19,1904
2024-08-20,1888
2024-08-21,1899
2024-08-22,1926
2024-08-23,1956
2024-08-24,1497
2024-08-25,1554
2024-08-26,2119
2024-08-27,2199
2024-08-28,2300
2024-08-29,2346
2024-08-30,2382
2024-08-31,1841
2024-09-01,1928
2024-09-02,2568
2024-09-03,2511
2024-09-04,2548
2024-09-05,2529
2024-09-06,2564
2024-09-07,1378
2024-09-08,1954
2024-09-09,2610
2024-09-10,2516
2024-09-11,2502
2024-09-12,2421
2024-09-13,2453
2024-09-14,1776
2024-09-15,1745
2024-09-16,2276
2024-09-17,2226
2024-09-18,2254
2024-09-19,2200
2024-09-20,2120
2024-09-21,1605
2024-09-22,1633
2024-09-23,2212
2024-09-24,2258
2024-09-25,2373
2024-09-26,2424
2024-09-27,2485
2024-09-28,1986
2024-09-29,1993
2024-09-30,2727
2024-10-01,2756
2024-10-02,2787
2024-10-03,2806
2024-10-04,2892
2024-10-05,2278
2024-10-06,2274
2024-10-07,2902
2024-10-08,2845
2024-10-09,2829
2024-10-10,2850
2024-10-11,2768
2024-10-12,1389
2024-10-13,2034
2024-10-14,2636
2024-10-15,2563
2024-10-16,2467
2024-10-17,2484
2024-10-18,2456
2024-10-19,1768
2024-10-20,1764
2024-10-21,2435
2024-10-22,2445
2024-10-23,2529
2024-10-24,2572
2024-10-25,2665
2024-10-26,2023
2024-10-27,2166
2024-10-28,2856
2024-10-29,2923
2024-10-30,2993
2024-10-31,3034
2024-11-01,3037
2024-11-02,1651
2024-11-03,2366
2024-11-04,3153
2024-11-05,3177
2024-11-06,3131
2024-11-07,3101
2024-11-08,3105
2024-11-09,2352
2024-11-10,2369
2024-11-11,2917
2024-11-12,2975
2024-11-13,2785
2024-11-14,2740
2024-11-15,1928
2024-11-16,2012
2024-11-17,1960
2024-11-18,2549
2024-11-19,2496
2024-11-20,1776
2024-11-21,2469
2024-11-22,2528
2024-11-23,1885
2024-11-24,1913
2024-11-25,2613
2024-11-26,2780
2024-11-27,2785
2024-11-28,2852
2024-11-29,2900
2024-11-30,2277
2024-12-01,2384
2024-12-02,3134
2024-12-03,3153
2024-12-04,3150
2024-12-05,3198
2024-12-06,3139
2024-12-07,2476
2024-12-08,2361
2024-12-09,3107
2024-12-10,3004
2024-12-11,2953
2024-12-12,2899
2024-12-13,2859
2024-12-14,2049
2024-12-15,2008
2024-12-16,2595
2024-12-17,2489
2024-12-18,2548
2024-12-19,2507
2024-12-20,2511
2024-12-21,1868
2024-12-22,1852
2024-12-23,2543
2024-12-24,2620
2024-12-25,1806
2024-12-26,2656
2024-12-27,2739
2024-12-28,2162
2024-12-29,2233
2024-12-30,2911
2024-12-31,2949
2025-01-01,2216
2025-01-02,3105
2025-01-03,3066
2025-01-04,2391
2025-01-05,2442
2025-01-06,3075
2025-01-07,3085
2025-01-08,3036
2025-01-09,3004
2025-01-10,2942
2025-01-11,2261
2025-01-12,2124
2025-01-13,2727
2025-01-14,2776
2025-01-15,2652
2025-01-16,2575
2025-01-17,2463
2025-01-18,1885
2025-01-19,1768
2025-01-20,2365
2025-01-21,2420
2025-01-22,2475
2025-01-23,2440
2025-01-24,2508
2025-01-25,1914
2025-01-26,2039
2025-01-27,2639
2025-01-28,2765
2025-01-29,2856
2025-01-30,2849
2025-01-31,2914
2025-02-01,2304
2025-02-02,2313
2025-02-03,3028
2025-02-04,3033
2025-02-05,3022
2025-02-06,3011
2025-02-07,3033
2025-02-08,2328
2025-02-09,2313
2025-02-10,2911
2025-02-11,2807
2025-02-12,2804
2025-02-13,2731
2025-02-14,2697
2025-02-15,1905
2025-02-16,1916
2025-02-17,2420
2025-02-18,2403
2025-02-19,2345
2025-02-20,2393
2025-02-21,2357
2025-02-22,1750
2025-02-23,1828
2025-02-24,2441
2025-02-25,2528
2025-02-26,2570
2025-02-27,2609
2025-02-28,2715
2025-03-01,2229
2025-03-02,2276
2025-03-03,2917
2025-03-04,3004
2025-03-05,2942
2025-03-06,2961
2025-03-07,2914
2025-03-08,2253
2025-03-09,2157
2025-03-10,2810
2025-03-11,2770
2025-03-12,2690
2025-03-13,2584
2025-03-14,2580
2025-03-15,1899
2025-03-16,1853
2025-03-17,2371
2025-03-18,2397
2025-03-19,2347
2025-03-20,2291
2025-03-21,2319
2025-03-22,1747
2025-03-23,1739
2025-03-24,2441
2025-03-25,2443
2025-03-26,2443
2025-03-27,2574
2025-03-28,2618
2025-03-29,2112
2025-03-30,2104
2025-03-31,2793
2025-04-01,2801
2025-04-02,2823
2025-04-03,2832
2025-04-04,2866
2025-04-05,2279
2025-04-06,2241
2025-04-07,2969
2025-04-08,2840
2025-04-09,2803
2025-04-10,2727
2025-04-11,2733
2025-04-12,2009
2025-04-13,1943
2025-04-14,2523
2025-04-15,2419
2025-04-16,2372
2025-04-17,2319
2025-04-18,1599
2025-04-19,1656
2025-04-20,1678
2025-04-21,1522
2025-04-22,2226
2025-04-23,2351
2025-04-24,2329
2025-04-25,2447
2025-04-26,1846
2025-04-27,1959
2025-04-28,2569
2025-04-29,2560
2025-04-30,2669
2025-05-01,2011
2025-05-02,2759
2025-05-03,2194
2025-05-04,2174
2025-05-05,2795
2025-05-06,2808
2025-05-07,2797
2025-05-08,2750
2025-05-09,2694
2025-05-10,2068
2025-05-11,1963
2025-05-12,2537
2025-05-13,2473
2025-05-14,2424
2025-05-15,2368
2025-05-16,2293
2025-05-17,1676
2025-05-18,1662
2025-05-19,2241
2025-05-20,2107
2025-05-21,2170
2025-05-22,2187
2025-05-23,2230
2025-05-24,1683
2025-05-25,1784
2025-05-26,2407
2025-05-27,2442
2025-05-28,2494
2025-05-29,2534
2025-05-30,2614
2025-05-31,1978
2025-06-01,2069
2025-06-02,2733
2025-06-03,2693
2025-06-04,2696
2025-06-05,2706
2025-06-06,2721
2025-06-07,2068
2025-06-08,2055
2025-06-09,2614
2025-06-10,2609
2025-06-11,2551
2025-06-12,2450
2025-06-13,2393
2025-06-14,1808
2025-06-15,1747
2025-06-16,2255
2025-06-17,2206
2025-06-18,2152
2025-06-19,2163
2025-06-20,2132
2025-06-21,1636
2025-06-22,1571
2025-06-23,2173
2025-06-24,2211
2025-06-25,2209
2025-06-26,2297
2025-06-27,2319
2025-06-28,1854
2025-06-29,1919
2025-06-30,2553
2025-07-01,2517
2025-07-02,2622
2025-07-03,2648
2025-07-04,2635
2025-07-05,2067
2025-07-06,2077
2025-07-07,2574
2025-07-08,2553
2025-07-09,2525
2025-07-10,2506
2025-07-11,2496
2025-07-12,1862
2025-07-13,1819
2025-07-14,2301
2025-07-15,2228
2025-07-16,2173
2025-07-17,2146
2025-07-18,2065
2025-07-19,1529
2025-07-20,1570
2025-07-21,2054
2025-07-22,2040
2025-07-23,2132
2025-07-24,2154
2025-07-25,2187
2025-07-26,1672
2025-07-27,1756
2025-07-28,2372
2025-07-29,2464
2025-07-30,2477
2025-07-31,2485
2025-08-01,2507
2025-08-02,1963
2025-08-03,1982
2025-08-04,2574
2025-08-05,2565
2025-08-06,2558
2025-08-07,2545
2025-08-08,2522
2025-08-09,1951
2025-08-10,1900
2025-08-11,2409
2025-08-12,2323
2025-08-13,2296
2025-08-14,2168
2025-08-15,2192
2025-08-16,1623
2025-08-17,1536
2025-08-18,2031
2025-08-19,2000
2025-08-20,1999
2025-08-21,2046
2025-08-22,1956
2025-08-23,1518
2025-08-24,1630
2025-08-25,2101
2025-08-26,2112
2025-08-27,2176
2025-08-28,2260
2025-08-29,2280
2025-08-30,1804
2025-08-31,1861
2025-09-01,2389
2025-09-02,2416
2025-09-03,2445
2025-09-04,2464
2025-09-05,2468
2025-09-06,1905
2025-09-07,1266
2025-09-08,2458
2025-09-09,2420
2025-09-10,2325
2025-09-11,2318
2025-09-12,2260
2025-09-13,1694
2025-09-14,1683
2025-09-15,2128
2025-09-16,2023
2025-09-17,2011
2025-09-18,1962
2025-09-19,1943
2025-09-20,1476
2025-09-21,1401
2025-09-22,1950
2025-09-23,1960
2025-09-24,1942
2025-09-25,2021
2025-09-26,2071
2025-09-27,1661
2025-09-28,1643
2025-09-29,2235
2025-09-30,2306
2025-10-01,2318
2025-10-02,2338
2025-10-03,2409
2025-10-04,1866
2025-10-05,1839
2025-10-06,2389
2025-10-07,2343
2025-10-08,2373
2025-10-09,2300
2025-10-10,2246
2025-10-11,1692
2025-10-12,1107
2025-10-13,2112
2025-10-14,2045
2025-10-15,1966
2025-10-16,1979
2025-10-17,1909
2025-10-18,1400
2025-10-19,1413
2025-10-20,1867
2025-10-21,1885
2025-10-22,1869
2025-10-23,1865
2025-10-24,1960
2025-10-25,1507
2025-10-26,1530
2025-10-27,2105
2025-10-28,2156
2025-10-29,2080
2025-10-30,2182
2025-10-31,2152
2025-11-01,1728
2025-11-02,1238
2025-11-03,2298
2025-11-04,2266
2025-11-05,2252
2025-11-06,2306
2025-11-07,2256
2025-11-08,1784
2025-11-09,1776
2025-11-10,2221
2025-11-11,2129
2025-11-12,2066
2025-11-13,2029
2025-11-14,2015
2025-11-15,1019
2025-11-16,1431
2025-11-17,1822
2025-11-18,1814
2025-11-19,1779
2025-11-20,1252
2025-11-21,1791
2025-11-22,1341
2025-11-23,1394
2025-11-24,1854
2025-11-25,1921
2025-11-26,1985
2025-11-27,2011
2025-11-28,2015
2025-11-29,1595
2025-11-30,1638
2025-12-01,2168
2025-12-02,2176
2025-12-03,2224
2025-12-04,2189
2025-12-05,2243
2025-12-06,1706
2025-12-07,1707
2025-12-08,2197
2025-12-09,2141
2025-12-10,2097
2025-12-11,2037
2025-12-12,2051
2025-12-13,1585
2025-12-14,1521
2025-12-15,1856
2025-12-16,1818
2025-12-17,1860
2025-12-18,1786
2025-12-19,1713
2025-12-20,1281
2025-12-21,1242
2025-12-22,1749
2025-12-23,1803
2025-12-24,1821
2025-12-25,1297
2025-12-26,1910
2025-12-27,1431
2025-12-28,1533
2025-12-29,1978
2025-12-30,2049
2025-12-31,2061
