cohort,month,age_months,active_accounts,cohort_size,retention
2024-04-01,2025-03-01,11,460,495,0.9292929292929293
2024-04-01,2025-04-01,12,445,495,0.898989898989899
2024-04-01,2025-05-01,13,428,495,0.8646464646464647
2024-04-01,2025-06-01,14,406,495,0.8202020202020202
2024-04-01,2025-07-01,15,388,495,0.7838383838383839
2024-04-01,2025-08-01,16,376,495,0.7595959595959596
2024-04-01,2025-09-01,17,362,495,0.7313131313131314
2024-04-01,2025-10-01,18,344,495,0.694949494949495
2024-04-01,2025-11-01,19,330,495,0.6666666666666666
2024-04-01,2025-12-01,20,320,495,0.6464646464646465
2024-05-01,2024-05-01,0,531,545,0.9743119266055046
2024-05-01,2024-06-01,1,545,545,1.0
2024-05-01,2024-07-01,2,545,545,1.0
2024-05-01,2024-08-01,3,545,545,1.0
2024-05-01,2024-09-01,4,545,545,1.0
2024-05-01,2024-10-01,5,545,545,1.0
2024-05-01,2024-11-01,6,545,545,1.0
2024-05-01,2024-12-01,7,545,545,1.0
2024-05-01,2025-01-01,8,531,545,0.9743119266055046
2024-05-01,2025-02-01,9,513,545,0.9412844036697248
2024-05-01,2025-03-01,10,495,545,0.908256880733945
2024-05-01,2025-04-01,11,482,545,0.8844036697247707
2024-05-01,2025-05-01,12,464,545,0.8513761467889909
2024-05-01,2025-06-01,13,445,545,0.8165137614678899
2024-05-01,2025-07-01,14,432,545,0.7926605504587156
2024-05-01,2025-08-01,15,417,545,0.7651376146788991
2024-05-01,2025-09-01,16,398,545,0.7302752293577982
2024-05-01,2025-10-01,17,376,545,0.689908256880734
2024-05-01,2025-11-01,18,361,545,0.6623853211009174
2024-05-01,2025-12-01,19,340,545,0.6238532110091743
2024-06-01,2024-06-01,0,475,492,0.9654471544715447
2024-06-01,2024-07-01,1,492,492,1.0
2024-06-01,2024-08-01,2,492,492,1.0
2024-06-01,2024-09-01,3,492,492,1.0
2024-06-01,2024-10-01,4,492,492,1.0
2024-06-01,2024-11-01,5,492,492,1.0
2024-06-01,2024-12-01,6,492,492,1.0
2024-06-01,2025-01-01,7,483,492,0.9817073170731707
2024-06-01,2025-02-01,8,472,492,0.959349593495935
2024-06-01,2025-03-01,9,461,492,0.9369918699186992
2024-06-01,2025-04-01,10,444,492,0.9024390243902439
2024-06-01,2025-05-01,11,422,492,0.8577235772357723
2024-06-01,2025-06-01,12,406,492,0.8252032520325203
2024-06-01,2025-07-01,13,389,492,0.790650406504065
2024-06-01,2025-08-01,14,373,492,0.758130081300813
2024-06-01,2025-09-01,15,360,492,0.7317073170731707
2024-06-01,2025-10-01,16,343,492,0.6971544715447154
2024-06-01,2025-11-01,17,332,492,0.6747967479674797
2024-06-01,2025-12-01,18,322,492,0.6544715447154471
2024-07-01,2024-07-01,0,439,456,0.9627192982456141
2024-07-01,2024-08-01,1,456,456,1.0
2024-07-01,2024-09-01,2,456,456,1.0
2024-07-01,2024-10-01,3,456,456,1.0
2024-07-01,2024-11-01,4,456,456,1.0
2024-07-01,2024-12-01,5,456,456,1.0
2024-07-01,2025-01-01,6,452,456,0.9912280701754386
2024-07-01,2025-02-01,7,439,456,0.9627192982456141
2024-07-01,2025-03-01,8,426,456,0.9342105263157895
2024-07-01,2025-04-01,9,408,456,0.8947368421052632
2024-07-01,2025-05-01,10,396,456,0.868421052631579
2024-07-01,2025-06-01,11,383,456,0.8399122807017544
2024-07-01,2025-07-01,12,368,456,0.8070175438596491
2024-07-01,2025-08-01,13,353,456,0.7741228070175439
2024-07-01,2025-09-01,14,345,456,0.756578947368421
2024-07-01,2025-10-01,15,334,456,0.7324561403508771
2024-07-01,2025-11-01,16,324,456,0.7105263157894737
2024-07-01,2025-12-01,17,314,456,0.6885964912280702
2024-08-01,2024-08-01,0,533,549,0.970856102003643
2024-08-01,2024-09-01,1,549,549,1.0
2024-08-01,2024-10-01,2,549,549,1.0
2024-08-01,2024-11-01,3,549,549,1.0
2024-08-01,2024-12-01,4,549,549,1.0
2024-08-01,2025-01-01,5,537,549,0.9781420765027322
2024-08-01,2025-02-01,6,529,549,0.9635701275045537
2024-08-01,2025-03-01,7,509,549,0.9271402550091075
2024-08-01,2025-04-01,8,494,549,0.8998178506375227
2024-08-01,2025-05-01,9,474,549,0.8633879781420765
2024-08-01,2025-06-01,10,453,549,0.825136612021858
2024-08-01,2025-07-01,11,441,549,0.8032786885245902
2024-08-01,2025-08-01,12,430,549,0.7832422586520947
2024-08-01,2025-09-01,13,420,549,0.7650273224043715
2024-08-01,2025-10-01,14,403,549,0.7340619307832422
2024-08-01,2025-11-01,15,391,549,0.7122040072859745
2024-08-01,2025-12-01,16,379,549,0.6903460837887068
2024-09-01,2024-09-01,0,444,464,0.9568965517241379
2024-09-01,2024-10-01,1,464,464,1.0
2024-09-01,2024-11-01,2,464,464,1.0
2024-09-01,2024-12-01,3,464,464,1.0
2024-09-01,2025-01-01,4,459,464,0.9892241379310345
2024-09-01,2025-02-01,5,450,464,0.9698275862068966
2024-09-01,2025-03-01,6,437,464,0.9418103448275862
2024-09-01,2025-04-01,7,429,464,0.9245689655172413
2024-09-01,2025-05-01,8,417,464,0.8987068965517241
2024-09-01,2025-06-01,9,402,464,0.8663793103448276
2024-09-01,2025-07-01,10,390,464,0.8405172413793104
2024-09-01,2025-08-01,11,373,464,0.8038793103448276
2024-09-01,2025-09-01,12,356,464,0.7672413793103449
2024-09-01,2025-10-01,13,333,464,0.7176724137931034
2024-09-01,2025-11-01,14,319,464,0.6875
2024-09-01,2025-12-01,15,309,464,0.665948275862069
2024-10-01,2024-10-01,0,464,467,0.9935760171306209
2024-10-01,2024-11-01,1,467,467,1.0
2024-10-01,2024-12-01,2,467,467,1.0
2024-10-01,2025-01-01,3,464,467,0.9935760171306209
2024-10-01,2025-02-01,4,444,467,0.9507494646680942
2024-10-01,2025-03-01,5,431,467,0.9229122055674518
2024-10-01,2025-04-01,6,417,467,0.892933618843683
2024-10-01,2025-05-01,7,403,467,0.8629550321199143
2024-10-01,2025-06-01,8,388,467,0.8308351177730193
2024-10-01,2025-07-01,9,374,467,0.8008565310492506
2024-10-01,2025-08-01,10,360,467,0.7708779443254818
2024-10-01,2025-09-01,11,348,467,0.7451820128479657
2024-10-01,2025-10-01,12,333,467,0.7130620985010707
2024-10-01,2025-11-01,13,316,467,0.6766595289079229
2024-10-01,2025-12-01,14,303,467,0.6488222698072805
